Name,Brand,Niche,Format,Hook type,Why it works,Status,Date saved,Source URL
20260513_exode_1080x1080_product-launch,Exode,Beauty clean,1080×1080,product-launch,"Hook = ""Nouvelle version"" qui répond à objection bicarbonate (peaux sensibles). Tagline secondaire ""Sans Parfum"" élargit la cible. Format simple : packshot centré + 2 lignes texte.",À adapter,2026-05-13,
20260513_exode_1080x1350_ugc-style,Exode,Beauty clean,1080×1350,ugc-style,"UGC iPhone salle de bain marbrée, hook ""personne ne m'a parlé de ce déo???"" = curiosité indignée. Yellow caption code TikTok natif, casse l'aspect pub.",À adapter,2026-05-13,
20260513_exode_1080x1350_promo-01,Exode,Beauty clean,1080×1350,promo,"Mécanique 3 achetés = 3 offerts visualisée comme une équation (3 jars = 3 minis). AOV push scannable en 0,5s.",À adapter,2026-05-13,
20260513_exode_1080x1350_promo-02,Exode,Beauty clean,1080×1350,promo,"Photo dépôt handheld + post-it manuscrit ""-30%"" = effet ""pris sur le vif"". UGC + handwriting créent urgence + exclusivité.",À adapter,2026-05-13,
20260513_exode_1080x1350_problem-solution,Exode,Beauty clean,1080×1350,problem-solution,"Infographie 4 cases : transpiration → bactéries → odeurs → solution Exode. Format pédago pour Problem Aware, convertit avant le packshot.",À adapter,2026-05-13,
20260513_exode_1080x1350_promo-03,Exode,Beauty clean,1080×1350,promo,"Trope ""erreur du stagiaire -30%"" = urgence + sympathie. Handwriting noir/rouge, humanité de marque, casse le code promo agressive.",À adapter,2026-05-13,
20260513_rumi-cosmetiques_1080x1350_before-after,Rumi Cosmétiques,Beauty clean,1080×1350,before-after,"DR US classique : titre objection (""At 50 I can't go to hairdresser every month"") + avant/après scalp ultra évident + packshot + CTA shop now. Format qui scale internationalement.",À adapter,2026-05-13,
20260513_exode_1080x1080_problem-solution-01,Exode,Beauty clean,1080×1080,problem-solution,"Hook = question rhétorique ""Un déo naturel vraiment efficace, impossible?"" + 3 icônes bénéfices sous packshot. Conversion via test logique côté visiteur.",À adapter,2026-05-13,
20260513_exode_1080x1350_promo-04,Exode,Beauty clean,1080×1350,promo,"Tactical UGC : screenshot panier réel + arrows manuscrites rouges = ""explication à une amie"". Authenticité hack pour passer en feed organique.",À adapter,2026-05-13,
20260513_exode_1080x1350_comparison,Exode,Beauty clean,1080×1350,comparison,"Split-screen déo industriel vs nigelle (avant = tache sueur + mec dégoûté / après = sourire + pot en main). DR limpide, promesse visuelle binaire.",À adapter,2026-05-13,
20260513_exode_1080x1080_problem-solution-02,Exode,Beauty clean,1080×1080,problem-solution,"Packshot premium + lychee parfumé + question problème (""Mauvaises odeurs de transpi?""). Test cible premium-aware qui rejette le DR brut.",À adapter,2026-05-13,
20260513_exode_1080x1350_testimonial-01,Exode,Beauty clean,1080×1350,testimonial,"Selfie influenceuse en tropical (DOM ou voyage), témoignage ""même sous 28°C pas d'odeur"". Persona aspirationnelle, ""addiction/magique"" = wow words.",À adapter,2026-05-13,
20260513_dune_1080x1080_promo,Dune,Beauty clean,1080×1080,promo,"DR pur : ciseaux pro + prix barré rouge (180€→159€) + urgence ""aujourd'hui"". B2B coiffure mais convertit grand public via signal ""outil de pro accessible"".",À adapter,2026-05-13,
20260513_exode_1080x1350_testimonial-02,Exode,Beauty clean,1080×1350,testimonial,"Selfie homme montagne avec pot, hook ""vraiment obligée de vous parler"" = recommandation forcée. Yellow captions TikTok. Bonus combat objection prix : ""1 déo = 3 mois"".",À adapter,2026-05-13,
20260513_breez_1080x1080_comparison,Breez,Wellness adulte,1080×1080,comparison,"Fear-driven comparison : huiles essentielles ""ce que j'ai acheté"" vs imagerie médicale anxiogène (poumons malades) ""ce que j'évite"". Brutal et très DR. ⚠️ Risque refus Meta sur visuel médical.",À adapter,2026-05-13,
20260513_flytex_1080x1080_promo-01,Flytex,Compression sport/santé,1080×1080,promo,"Split visuel bi-colore blanc/orange : ""-10% code FLY10"" en gros bloc gauche, packshot maintien compression V2 à droite. Code promo brandé (FLY10) = mémorisation. Reposte naturel via influenceurs/affiliés.",À adapter,2026-05-13,
20260513_flytex_1080x1920_ugc-style,Flytex,Compression sport/santé,1080×1920,ugc-style,"Story TikTok native : jeune femme jardin se penche pour enfiler legging compression, bubble FB ""le meilleur produit pour soulager tes genoux ?"" overlay. Casse l'aspect pub, format ""ami qui me recommande"".",À adapter,2026-05-13,
20260513_flytex_1080x1080_product-launch,Flytex,Compression sport/santé,1080×1080,product-launch,"Grille 4 cases on-track : packshot legging porté + zoom genou + détail poche + caption ""NOUVEAU LEGGING DE COURSE"". Multi-angle scannable, signale produit haut de gamme.",À adapter,2026-05-13,
20260513_flytex_1080x1080_comparison-01,Flytex,Compression sport/santé,1080×1080,comparison,"Split-screen ""ce que j'ai acheté"" (legging compression) vs ""ce que j'ai reçu"" (Garmin progression 7:36/km → 5:59/km). Vend la transformation perf, pas le produit. Hack DR puissant.",À adapter,2026-05-13,
20260513_flytex_1080x1350_offer-stack,Flytex,Compression sport/santé,1080×1350,offer-stack,"Screenshot UI funnel : 3 paliers prix (€39.99 unitaire / €49.99 paire -37% pré-sélectionné / 2e à -50%). AOV push visuel + ancrage. Inspiration design pour PDP/CRO Barky.",À adapter,2026-05-13,
20260513_flytex_1080x1080_problem-solution-01,Flytex,Compression sport/santé,1080×1080,problem-solution,"Liste 8 pathologies couvertes (tendinites, luxations, bursite, arthrose, élongations, déchirures, post-chirurgie, douleurs) + packshot maintien épaule. Maximise persona-fit via liste = ""au moins une me concerne"".",À adapter,2026-05-13,
20260513_flytex_1080x1920_product-features,Flytex,Compression sport/santé,1080×1920,product-features,"Story 9:16 in-action : handballeur pro en match + 4 features pointées (compression classe 2, élastique silicone anti-glissement, circulation sanguine, maintien articulation). Crédibilité athlète + pédago.",À adapter,2026-05-13,
20260513_flytex_1080x1080_problem-solution-02,Flytex,Compression sport/santé,1080×1080,problem-solution,"Hook objection ""Entorse du genou ? Pas avec Flytex !"" + 4 icônes bénéfices + social proof ""+ de 9 700 joueurs de basket"" + Trustpilot 5⭐. Combo pain-point/preuve/social proof complet.",À adapter,2026-05-13,
20260513_flytex_1080x1080_comparison-02,Flytex,Compression sport/santé,1080×1080,comparison,"Split Sans (fond orange Flytex, douleurs récurrentes + schéma genou éclair) / Avec (fond brun, ""sentirez le soulagement"" + packshot). Promesse visuelle binaire, palette de marque assumée.",À adapter,2026-05-13,
